gene,avg_logFC,p_val_adj,gene_set,scores,p_val
CXCL2,1.2900016,3.518301534167756e-12,Other,7.121208,1.0698508746755013e-12
CAPN13,1.2814156,2.1020680477743887e-35,Other,12.658735,1.000984784654471e-36
TIMM17A,1.2781901,1.7128228148413188e-46,Other,14.578566,3.845112441480512e-48
HDDC2,1.275311,2.4605626540402744e-45,Other,14.387571,6.193252938740827e-47
AP1M2,1.2698351,2.2143919389024745e-39,Other,13.377964,8.134501000049908e-41
EIF3E,1.2652327,1.4116359470506718e-46,Other,14.596028,2.976919344120464e-48
IGHJ6,-1.2632804,0.0165545544133394,Other,-2.5785544,0.0099214710463619
ZNF33B,1.2565908,1.2506280323644324e-35,Other,12.70171,5.7852181088966936e-37
MDH2,1.2466393,5.2848906857336464e-64,Other,17.171854,4.3141964781499164e-66
PCBD1,1.2462058,2.3034942907029096e-39,Other,13.373667,8.618516053650341e-41
SAMD11,-1.2453095,1.8455343214195122e-09,Other,-6.1711497,6.779513833785963e-10
TFRC,1.2424678,6.225638132887409e-43,Other,13.987303,1.8634563118846664e-44
DNAJC19,1.2414302,1.3731837861484491e-36,Other,12.878106,5.978487232210934e-38
MAL,1.2390765,2.4393586282710252e-27,Other,11.040403,2.439358628271025e-28
SCGB1D2,1.2357998,1.1599791166087875e-23,Other,10.228133,1.4835107069554559e-24
TIMM50,1.2318001,5.483085367740501e-47,Other,14.662602,1.1189970138245923e-48
AGBL5,1.2313968,2.944088086974371e-33,Other,12.242505,1.8425585306234161e-34
BUB1,1.2269447,4.881133107528299e-27,Other,10.976079,4.980748068906428e-28
TC2N,1.2194386,2.0090909354514856e-37,Other,13.03056,8.200371165108102e-39
CRABP1,1.2178826,3.9896500106638406e-26,Other,10.779219,4.315335725820073e-27
NUF2,1.215289,8.152351673099858e-22,Other,9.787825,1.2699921994148755e-22
LGR5,1.2138697,1.893228577623965e-27,Other,11.066256,1.8288330477728103e-28
MMP13,1.2136576,0.0443813437401312,Other,2.1991584,0.0278666532463545
DARS2,1.2092746,6.244020877320274e-34,Other,12.373132,3.6529645948948535e-35
OGDHL,1.2071985,9.397063256205587e-42,Other,13.785122,3.132354418735196e-43
MMP11,-1.2067784,2.855755485040539e-32,Other,-12.050693,1.9232638980885266e-33
PCP4,1.2063477,6.020377429145714e-35,Other,12.570401,3.0716211373192426e-36
CLDN5,-1.1996945,0.0329619674875065,Other,-2.3171654,0.0204947199208034
ALKBH7,1.1984955,7.72013282070227e-41,Other,13.630826,2.6258955172456705e-42
MYBL2,1.1945826,4.8295873295666616e-30,Other,11.610452,3.6468312488564592e-31
RSPO3,1.1904068,0.0170462284441848,Other,2.5676403,0.0102393331402824
TWNK,1.1893624,1.189723524975746e-22,Other,9.990619,1.6753249637413565e-23
PAICS,1.1867784,4.91644241917335e-43,Other,14.00572,1.4381430205745173e-44
TBC1D31,1.1850275,1.2041121517407391e-32,Other,12.123339,7.94550195366338e-34
CKB,1.1831031,1.083158215222851e-71,Other,18.175253,8.105265556089362e-74
PEG10,1.1762073,3.5658956268764284e-39,Other,13.3384695,1.3826942226663702e-40
CCNO,1.1746839,2.0578422771303907e-10,Other,6.5206685,6.999463527654389e-11
LTA4H,1.1738251,7.223560837768209e-40,Other,13.465207,2.5061333518787663e-41
ATAD2,1.1734688,9.933246778680344e-33,Other,12.140801,6.419445197106344e-34
ANKRD62,1.1718038,1.2950853565560543e-24,Other,10.444093,1.559388490547086e-25
NDUFC1,1.1707013,4.7766823747590495e-62,Other,16.899345,4.5492213092943325e-64
FLT4,-1.165178,0.047391698338429,Other,-2.1716008,0.0298857852787235
SF3B6,1.1636916,1.1361386890837208e-61,Other,16.840275,1.2366135391387437e-63
NDUFA9,1.1596208,8.161429993147669e-43,Other,13.96643,2.4983969366778576e-44
PAFAH1B3,1.1571853,1.549426646426236e-33,Other,12.29537,9.591688763590983e-35
FN3K,1.1569835,1.2413439197968923e-36,Other,12.88711,5.320045370558111e-38
CSE1L,1.155676,3.834517720237704e-42,Other,13.852653,1.2260022642936876e-43
CCNB1,1.1556758,1.0339284614206606e-27,Other,11.122258,9.776602458331417e-29
CDH10,1.155257,1.988172926608588e-34,Other,12.4684925,1.1090488434143144e-35
ECSIT,1.1549425,9.413538600658912e-40,Other,13.444198,3.3299592328861456e-41
PKIB,1.1496702,2.008621363037458e-27,Other,11.060321,1.953964999417391e-28
NKD2,-1.1476228,1.614074595380104e-06,Other,-4.9567013,7.170004835259918e-07
SOD3,1.1432768,2.0579908244526267e-29,Other,11.478394,1.6939924473385572e-30
C1orf43,1.1397625,9.750362509658529e-52,Other,15.404546,1.5255669232799062e-53
USP14,1.1379097,1.0188433005351316e-51,Other,15.3989525,1.6634176335267458e-53
TACC3,1.1340828,2.563730673540633e-28,Other,11.249201,2.3370061922071078e-29
RPP40,1.1294343,8.738953901286647e-25,Other,10.484065,1.0225170551165328e-25
ASPM,1.1261834,1.6206466532224548e-17,Other,8.699636,3.329491763763139e-18
PDE11A,1.125265,8.097661962340156e-10,Other,6.3050504,2.8810049022475524e-10
MFAP2,-1.1247165,1.5948013395179315e-26,Other,-10.865576,1.6815932491515606e-27
HEY1,1.1240871,3.89704364492637e-09,Other,6.0486407,1.4607286043227414e-09
SKA3,1.1236986,6.249632771218819e-22,Other,9.815109,9.69330797168633e-23
ATRNL1,1.1149976,2.2717508269968948e-24,Other,10.386931,2.8435520555607397e-25
MTURN,1.1139996,1.2677538620599214e-31,Other,11.9223175,9.055384728999436e-33
MELK,1.1137732,2.440148845432716e-22,Other,9.9153805,3.568925182095468e-23
KIF23,1.1123002,7.662930376127441e-23,Other,10.035571,1.0634270726054407e-23
CINP,1.1121632,1.2365721546881277e-30,Other,11.727913,9.169140466735094e-32
PNKD,1.1115968,2.3210875792350013e-34,Other,12.45328,1.342125470986225e-35
GOT1,1.1108508,5.129326110651094e-35,Other,12.587386,2.477429618069577e-36
WNT5A,-1.110327,0.0004338374740246,EMT_hallmark,-3.6909573,0.000223411542746
COL23A1,-1.1097499,0.0060712804209624,Other,-2.9250035,0.0034445223612807
FBXL17,1.1073706,9.49565033095797e-32,Other,11.947966,6.653414857746059e-33
AFG3L2,1.1063722,1.9010050158764167e-36,Other,12.851776,8.40580449197055e-38
WDR3,1.1044431,2.6479131114200983e-30,Other,11.6624975,1.981431579974223e-31
STRBP,1.10437,6.643726925900432e-29,Other,11.373074,5.694623079343228e-30
ERFE,1.1041782,3.697630018428402e-12,Other,7.114046,1.126896767521037e-12
CEP55,1.1011667,5.070206490758546e-18,Other,8.835856,9.933465777812661e-19
NOP16,1.0996299,8.67183248741635e-35,Other,12.538409,4.601380503527044e-36
SUPT4H1,1.0954739,1.288525523402072e-35,Other,12.698231,6.048181028213808e-37
PPARGC1A,1.0945,1.069306758773926e-32,Other,12.133912,6.983227812401152e-34
NUDT11,1.0915471,1.2997401324822278e-21,Other,9.73878,2.060132318832375e-22
KIF18B,1.0828578,5.546240865158237e-22,Other,9.828479,8.489144181364649e-23
NIFK,1.0816175,6.013742411110089e-28,Other,11.17178,5.604644287905321e-29
LAPTM5,-1.0806476,1.263952658678938e-05,Other,-4.527852,5.958633962343564e-06
STOML2,1.0803275,4.489272726757116e-37,Other,12.967805,1.8628954852529526e-38
DNAJC11,1.0789762,7.4468040444887e-28,Other,11.152135,6.990877266254697e-29
ECT2,1.0776408,5.286804286285249e-26,Other,10.752139,5.790309456407653e-27
CYFIP2,1.0772324,5.77849506967355e-23,Other,10.064356,7.940517034517395e-24
DTL,1.0716052,1.3574598177751004e-17,Other,8.7201,2.779560579253777e-18
TACR1,1.0711923,0.0028058147754941,Other,3.1651785,0.001549878637892
MMACHC,1.0665814,3.123170872223319e-24,Other,10.355486,3.9517672260784847e-25
FMC1,1.0655516,1.8654382944539618e-29,Other,11.487602,1.5228067709828258e-30
CBX3,1.0655309,1.3015077589398833e-51,Other,15.380467,2.2134485696256516e-53
NMU,1.0629765,1.7854689555664058e-22,Other,9.948396,2.5628159838402155e-23
AIFM1,1.062933,2.437428123125132e-28,Other,11.254316,2.2052921113989287e-29
MCM4,1.0627785,1.630299556863329e-27,Other,11.080921,1.552666244631742e-28
RHOV,1.0618486,5.293150434946944e-11,Other,6.724896,1.7571819130980328e-11
ACOT11,1.0579628,1.8665470402429822e-28,Other,11.279828,1.650687858718284e-29
RRM2,1.0553311,1.3844857797481176e-24,Other,10.435635,1.7047069805061856e-25
PYGL,1.0544248,7.710812696673049e-30,Other,11.567342,6.032268436172795e-31
CDK1,1.0543723,1.0863917958401382e-24,Other,10.462919,1.278542725716625e-25
MZT1,1.0496246,2.017450721446815e-28,Other,11.271643,1.8115884029318337e-29
JPT1,1.047997,7.690453897648548e-51,Other,15.26246,1.360216335638519e-52
TRIP13,1.0445814,1.2838518490372366e-24,Other,10.445457,1.537128744425535e-25
NNT,1.0415771,7.864129443180671e-29,Other,11.357657,6.794179859074458e-30
SMIM20,1.0415201,2.993902798460265e-29,Other,11.4438095,2.5254690272726044e-30
IMP4,1.0413897,1.2939128831040718e-29,Other,11.520617,1.0386511578658533e-30
NDUFB5,1.0404109,3.132262039085738e-39,Other,13.349451,1.1932426815564715e-40
ABCE1,1.0403377,4.25599661064908e-32,Other,12.016109,2.924188147452769e-33
FAM136A,1.0399275,3.327052311819732e-28,Other,11.225531,3.055456204732408e-29
NPM3,1.0386941,1.8024729235741078e-28,Other,11.28358,1.5817619533405434e-29
ADAMTS14,-1.0383476,0.0092531298196765,Other,-2.7847595,0.005356743861595
TK1,1.0341522,8.67318854309491e-27,Other,10.922806,8.968194956125349e-28
SLC16A3,-1.0307504,6.146628708985852e-05,Other,-4.171716,3.0231377936032454e-05
CENPW,1.0306638,3.7546950474085305e-23,Other,10.107671,5.1084286359299745e-24
ATG4D,1.0287309,1.7817760163441392e-27,Other,11.072327,1.7090504646566232e-28
VPS72,1.0267837,1.8197580144073682e-29,Other,11.490467,1.473137440234536e-30
DBNDD1,1.0262918,4.847067173165876e-22,Other,9.842939,7.35303387493871e-23
NCR3LG1,1.0260837,8.232923473267506e-26,Other,10.709506,9.18503026949572e-27
KIF9,1.0258099,8.65311862000145e-23,Other,10.0230875,1.2067274265988413e-23
TPX2,1.0257825,5.95338195493191e-26,Other,10.740611,6.560869909516799e-27
ABHD8,1.0253799,1.3603009977545651e-24,Other,10.438363,1.6564209428439942e-25
ACOT13,1.0234832,4.881133107528299e-27,Other,10.976079,4.980748068906428e-28
FAM200B,1.0233878,1.0493758852144454e-28,Other,11.3317375,9.137422673976125e-30
TFCP2L1,1.0224375,8.87526928482016e-08,Other,5.506286,3.664822078833903e-08
CYCS,1.0220091,1.366492851523968e-43,Other,14.10149,3.7183478953033145e-45
SYNGR3,1.017183,8.259875722819272e-20,Other,9.296629,1.4496924738009333e-20
UBE2C,1.0121968,1.6700669852341634e-24,Other,10.417286,2.067701981718488e-25
ATP1B1,1.0111624,7.779180467102994e-30,Other,11.565841,6.138673021659506e-31
CACNG4,-1.0107803,2.50210649225489e-12,Other,-7.1695704,7.523340609365044e-13
PCDH10,1.0073162,1.2766656170362348e-11,Other,6.934921,4.064486454237809e-12
EEF1B2,1.0047792,5.134359805603855e-92,Other,20.646578,1.0478285317558887e-94
TIMM44,1.004432,1.7519875015266695e-26,Other,10.856367,1.860026049652373e-27
MCM2,1.0038792,1.1899563495430431e-26,Other,10.89286,1.2466209376165214e-27
HOXA7,0.9996084,2.885007773069882e-25,Other,10.59109,3.2775258374331315e-26
HES6,0.9990612,6.471454728984267e-20,Other,9.322959,1.1314039900333035e-20
ENO2,-0.9989721,7.414672376864105e-05,EMT_hallmark,-4.12847,3.651852245475927e-05
UBE2T,0.99796444,3.4321446642806847e-22,Other,9.878956,5.136543034977895e-23
DTYMK,0.9958824,4.3236345271046683e-23,Other,10.093347,5.9119084350206686e-24
FLAD1,0.9929458,2.081348463619649e-24,Other,10.395799,2.591066454710176e-25
LRPPRC,0.9920047,1.8165786514481454e-26,Other,10.8519335,1.9525131083592314e-27
ISLR,-0.9912285,6.357066577481321e-10,Other,-6.344204,2.2357846398352668e-10
ECHDC1,0.99070597,7.265860041077914e-30,Other,11.574709,5.535893364630792e-31
POLD2,0.989633,1.0613234839601996e-30,Other,11.741624,7.797478657666773e-32
YES1,0.987364,5.295684139487604e-32,Other,11.997214,3.6745563416852756e-33
HDAC11,0.9868166,1.1085124148189522e-24,Other,10.460464,1.3121167359081476e-25
GADL1,0.98606974,4.158951494492294e-07,Other,5.2221828,1.768261689835159e-07
MYO3B,0.9816413,7.561887722033899e-19,Other,9.051952,1.404350576949153e-19
COMMD6,0.98089343,5.208996304457373e-35,Other,12.583975,2.5867804777237304e-36
GDPD1,0.9788619,2.0112163600572144e-27,Other,11.058957,1.9839108675526035e-28
CDC25B,0.9783637,2.0112163600572144e-27,Other,11.058752,1.9884418440702955e-28
MOAP1,0.97497666,2.5436860846636762e-23,Other,10.147234,3.408885433188735e-24
ACADM,0.9744483,4.432242621382488e-33,Other,12.207513,2.8342231728568287e-34
DIAPH3,0.9734554,6.37855253026079e-16,Other,8.259191,1.4666331668218686e-16
TTC39A,0.97271377,2.3710514511568692e-20,Other,9.431348,4.0485300288460826e-21
KRT8,0.9723223,8.674966609023095e-39,Other,13.269439,3.481789319267773e-40
FMN1,0.97171974,4.241359328753288e-21,Other,9.615657,6.866962722743419e-22
TESMIN,0.9686459,2.0877414050372538e-23,Other,10.167493,2.7694528842330918e-24
EIF4EBP1,0.96833605,3.276006229239516e-33,Other,12.232956,2.072575369518877e-34
SMAD1,0.96744376,2.043795611892272e-42,Other,13.899309,6.395550894356769e-44
NDC80,0.96619284,3.0551548831255354e-22,Other,9.891984,4.509990541756743e-23
CDC6,0.9642979,2.0230752422809205e-15,Other,8.11465,4.871895481411196e-16
LGALS3,-0.96342254,0.0087170904822728,Other,-2.8048139,0.0050345645030269
CHCHD7,0.96109897,2.6801265032445745e-29,Other,11.45411,2.2425548292454603e-30
PRELID3B,0.96078783,1.8353505060359488e-31,Other,11.890667,1.323450024760616e-32
SCD,0.9607263,2.0263008645328906e-23,Other,10.170903,2.6741657667985083e-24
BIRC5,0.95911515,1.2149448006547932e-12,Other,7.271548,3.553920165180688e-13
RAB3IP,0.95690763,1.374293219512431e-24,Other,10.436863,1.6828080238927729e-25
REEP2,0.9546744,3.447640802020713e-20,Other,9.3911705,5.9336947136819074e-21
LPIN1,0.94886506,2.767116448354951e-22,Other,9.902352,4.0659670261542156e-23
KCNMB2,0.94795316,3.9782207559392984e-09,Other,6.045026,1.4938624879445523e-09
FANCI,0.9479516,5.0139058929581856e-21,Other,9.59799,8.151860601476233e-22
NQO1,0.9473238,1.0070218801414294e-20,Other,9.522411,1.6920707781968236e-21
NIPSNAP1,0.9454446,6.555047772101607e-35,Other,12.562625,3.389004290338246e-36
GSTZ1,0.9454368,1.4472494438133265e-22,Other,9.970223,2.057653971135954e-23
SFXN4,0.94341946,6.235475214506491e-26,Other,10.735768,6.914166394316721e-27
PYCR1,0.9431947,3.1422527294851383e-22,Other,9.88871,4.659939421957551e-23
DFFA,0.93878824,2.1075780016088466e-22,Other,9.930933,3.053837512535267e-23
SURF2,0.9384347,1.5476898726165777e-23,Other,10.19812,2.0214724866828773e-24
SMC2,0.93823886,1.5878338545087126e-22,Other,9.960537,2.2683340778695893e-23
PRC1,0.93627924,2.763842404165769e-20,Other,9.414841,4.7380155499984616e-21
CCT4,0.93603545,3.4757055197488565e-27,Other,11.007935,3.4993497749852437e-28
TOMM34,0.93550473,3.2509628381304416e-23,Other,10.122269,4.4009632978772646e-24
