gene,avg_logFC,p_val_adj,gene_set,scores,p_val
HLA-DQB2,-7.239317,4.935332425544015e-05,Other,-4.223012,2.410590939823539e-05
DSG1,-6.612287,0.0009882510026945,Other,-3.4662666,0.0005277394810307
FOSB,-6.542702,2.1616514382508023e-85,Other,-19.870325,7.352555912417695e-88
LY6D,-6.249628,0.0059997240153094,Other,-2.9294374,0.003395762163767
IGHG4,-5.8717375,4.076802891690735e-06,Other,-4.7670717,1.8692279925167044e-06
DSC3,-5.6421447,0.0074042147540057,Other,-2.8604066,0.0042309798594318
CD1A,-5.1232924,0.0046944838884641,Other,-3.0070627,0.0026378528516131
HLA-DQA2,-4.6241956,0.0065672253609282,Other,-2.9001062,0.003730362705017
PKP1,-4.6213603,0.0076300281702128,Other,-2.8493564,0.00438077807868
KRT14,-4.324705,2.8660255863106013e-17,Other,-8.633198,5.966012444973089e-18
NMNAT2,4.2097898,0.011137344926678,Other,2.7194805,0.0065384548787232
IGLV3-1,-4.133482,0.0007759857627234,Other,-3.5337968,0.0004096360216825
COL17A1,-3.787987,2.3053230568572837e-06,Other,-4.88426,1.0381794990745043e-06
MMP3,-3.6669726,1.2219600556206852e-29,EMT_hallmark,-11.5262785,9.725804524327905e-31
FOS,-3.642994,3.0560271530328763e-102,Other,-21.805025,2.0789300360767863e-105
FCER1A,-3.6415234,0.0138830272629384,Other,-2.6422644,0.0082353739954301
CA12,-3.2734838,0.0168784413953765,Other,-2.5714602,0.0101270648372259
IGKV4-1,-2.936792,2.1664775545492197e-05,Other,-4.409504,1.0360773611211574e-05
S100B,-2.83307,0.005647272962207,Other,-2.948946,0.0031885962983889
SYT8,-2.765301,0.0462662170801084,Other,-2.1823783,0.0290816221646396
CBLN2,2.6950305,0.0222116377524113,Other,2.466891,0.0136291818045408
MMP1,-2.649624,7.82814555637563e-34,EMT_hallmark,-12.3540325,4.6329841047937405e-35
SLC2A3,-2.6303062,6.090525387492397e-10,Other,-6.3510933,2.1378987074463102e-10
ADM,-2.6107657,1.1789564699212196e-15,Other,-8.182725,2.7749587659370204e-16
SERPINE1,-2.518243,7.730632469455201e-17,EMT_hallmark,-8.514918,1.6670819679029244e-17
IGHM,-2.4855962,0.0404311812215661,Other,-2.2371526,0.025276364314707
IGSF23,2.4772902,6.138985524721735e-63,Other,17.024242,5.429034817781127e-65
KRT75,2.4197273,0.0201792752069052,Other,2.5046124,0.0122585665032424
MMP7,-2.377621,1.7364296114197553e-12,Other,-7.2212753,5.150226602578321e-13
CCL21,-2.3740747,3.5874434565241627e-32,Other,-12.031048,2.4404377255266417e-33
IFIT1,-2.3708086,0.000920798893369,Other,-3.486594,0.0004892135617151
KRT15,-2.3299756,0.0001461010766828,Other,-3.966125,7.305053834144431e-05
AQP3,-2.2699084,0.0105433877021255,Other,-2.7396712,0.0061500658353961
CXCL8,-2.2312083,0.003673017526657,EMT_hallmark,-3.0841424,0.0020413981763801
CD44,-2.1721828,6.714053370975966e-24,EMT_hallmark,-10.281475,8.54100666920072e-25
ANGPTL4,-2.1203945,2.786331941756838e-32,Other,-12.053557,1.857554627837892e-33
CD207,-2.118488,0.0059622703527906,Other,-2.9317565,0.0033705079341285
SLC2A1,-2.0901368,2.847561946454384e-57,Other,-16.216202,3.8742339407542643e-59
MEIOC,2.090112,0.002771962848463,Other,3.1690664,0.001529293789186
TMSB15A,2.0861154,5.635758065351931e-48,Other,14.818536,1.1118162169741906e-49
HMOX1,-2.0759454,1.9272636446973097e-05,Other,-4.4350834,9.203667201207562e-06
ACP5,-1.9911484,0.0412555677294569,Other,-2.2284896,0.0258478761080475
KRT5,-1.9854743,1.3765123134303318e-15,Other,-8.163693,3.249318182043028e-16
IFI44L,-1.9751375,5.132481662629253e-25,Other,-10.53536,5.935523011203898e-26
CPLX1,1.9708693,6.801966633520822e-76,Other,18.715494,3.701750548854869e-78
OAS1,-1.9443187,0.0001099621061141,Other,-4.034337,5.475664059562789e-05
PFKFB3,-1.9421284,1.198139524729752e-24,Other,-10.452551,1.4263565770592286e-25
POMC,1.9373395,9.381984403315606e-05,Other,4.0727406,4.646316085451538e-05
TRIM29,-1.9186732,0.0260865975124822,Other,-2.4075465,0.0160601161556438
PFKFB4,-1.9174026,2.3002158488875653e-13,Other,-7.499308,6.415568013904092e-14
XAF1,-1.8919423,1.399118796523888e-05,Other,-4.506024,6.6053635699835245e-06
MX1,-1.8471596,9.415630344926399e-10,Other,-6.27988,3.3883458860313367e-10
STC1,-1.8309095,6.105122204497179e-09,Other,-5.9735394,2.321607695451648e-09
CTCFL,1.8292785,1.1460983086118046e-81,Other,19.425718,4.677952280048182e-84
ANKRD37,-1.8222114,2.8455282145094322e-12,Other,-7.151631,8.57529931311346e-13
DDIT4,-1.8165785,1.4230018630705352e-23,Other,-10.206783,1.8489343935134166e-24
NPY1R,1.7767038,9.419321443847753e-23,Other,10.01422,1.3199865424711816e-23
OAS2,-1.7755522,5.478204190816537e-05,Other,-4.1981826,2.690655391679959e-05
CTNND2,1.7682912,1.7676105934730525e-43,Other,14.081573,4.930070362747969e-45
C11orf96,-1.7636636,0.0010369499160091,Other,-3.4519422,0.0005565669957355
MAF,-1.7560245,5.988326075056144e-06,Other,-4.6859674,2.7864047859444917e-06
TRIM22,-1.7462612,5.36336516054774e-10,Other,-6.371216,1.8753535323275767e-10
CXCL14,-1.7336639,1.039216515680755e-05,Other,-4.569666,4.885024573710216e-06
RSAD2,-1.7274252,6.924731344599676e-07,Other,-5.1251855,2.9724527064233985e-07
EGR1,-1.7040411,5.776372066657111e-31,Other,-11.793737,4.204570143757217e-32
B3GALT1,1.6724485,2.0112163600572144e-27,Other,11.058343,1.9975346161112466e-28
CLGN,1.6635845,2.03262328806498e-34,Other,12.465764,1.1476716524448527e-35
AQP1,-1.6619462,6.387044684102016e-13,Other,-7.360087,1.837904694813029e-13
PTPRC,-1.6609986,0.0132298572205754,Other,-2.6593175,0.0078299154978915
IGKC,-1.6442276,7.080051100252887e-17,Other,-8.525832,1.517153807197047e-17
EGFL7,-1.6274835,0.0027077620817843,Other,-3.1762288,0.0014920321675138
ELMO1,1.6267033,8.674966609023095e-39,Other,13.269917,3.459675086884904e-40
ATP1A3,1.6171073,1.2138974575256849e-45,Other,14.438253,2.9728101000629016e-47
EGLN3,-1.6143312,1.6252471966122755e-09,Other,-6.192091,5.937127514155046e-10
SAMD9L,-1.610856,0.020180036416667,Other,-2.504203,0.0122727568411566
HELZ2,-1.6104118,0.0143752191033687,Other,-2.6300545,0.0085371199164904
SCIN,1.6015031,0.0080173226141567,Other,2.8331902,0.0046085970128996
PRR11,1.596805,2.3883063870996828e-43,Other,14.058584,6.823732534570522e-45
MME,-1.5898744,0.0026705893713925,Other,-3.1805944,0.0014697325179976
GPR160,1.5790459,7.550065392550139e-36,Other,12.742295,3.4411862673527844e-37
LDLR,1.5660831,4.8272096587532696e-48,Other,14.831291,9.194685064291945e-50
TMEM158,-1.5568055,0.0019399733406527,Other,-3.2745225,0.0010584072239479
ODC1,1.5424957,1.4797603877873256e-75,Other,18.667746,9.059757476248934e-78
IGHG1,-1.5267906,2.716612237806249e-15,Other,-8.0770645,6.634447573962199e-16
LAMA3,1.5260149,1.1736710300777262e-33,EMT_hallmark,12.319585,7.10589943380392e-35
FAM169A,1.5226208,1.3552258331241815e-24,Other,10.43925,1.6410217571163558e-25
S100A16,-1.5222049,2.7294477719270692e-08,Other,-5.716107,1.0899223415790404e-08
CCNB1IP1,1.5125504,8.642995154750244e-54,Other,15.712865,1.2347135935357492e-55
GFRA1,-1.5051059,1.3492097189682578e-06,Other,-4.9938087,5.920001828126029e-07
C1QC,-1.4970342,2.4352153746709996e-09,Other,-6.1259933,9.011953495381114e-10
PPIF,1.4852694,4.0961168903191764e-76,Other,18.7496,1.9505318525329416e-78
CKMT2,1.4833784,4.460627973681167e-36,Other,12.784451,2.0027309269588917e-37
HMMR,1.4802932,8.471314828522502e-26,Other,10.706301,9.508618685076278e-27
AURKA,1.47823,7.865220765482699e-25,Other,10.49457,9.149338441479872e-26
COL4A2,-1.477441,2.432813282960344e-14,EMT_hallmark,-7.7947345,6.454402587445811e-15
RASSF2,1.4664997,2.710893862787805e-46,Other,14.545141,6.270094648624856e-48
LTK,1.4617734,6.746242451118692e-44,Other,14.15299,1.789819425807e-45
GRID2,-1.4575363,0.0409099716693017,Other,-2.2321732,0.0256035196841888
COCH,1.4505576,1.222564967304454e-31,Other,11.926138,8.649439224466887e-33
ADAMTS4,-1.4493605,0.032641169592541,Other,-2.3216674,0.0202508480737397
NHP2,1.4447855,3.7313032217907477e-60,Other,16.628748,4.315112569417871e-62
PARP14,-1.443234,1.8373819464692808e-13,Other,-7.529662,5.087173144306103e-14
GPRC5A,-1.4404974,0.0002712511321231,Other,-3.8113518,0.000138208910177
CLEC2B,-1.4194896,0.000472741958665,Other,-3.6687202,0.0002437676222232
ISG15,-1.4135232,1.0072080921589997e-17,Other,-8.754956,2.0418232072338905e-18
FGFR3,-1.4106582,4.581409834060914e-17,Other,-8.577537,9.692642574101662e-18
GPX3,1.4056851,1.622513839624435e-46,Other,14.584364,3.532002916189246e-48
INHBA,-1.4048417,5.735475395245857e-12,EMT_both,-7.051086,1.775266193766575e-12
SPP1,-1.4021556,5.92237535704286e-22,EMT_hallmark,-9.820975,9.145436775841696e-23
GCA,1.4004078,1.557603762170867e-59,Other,16.53946,1.9072699128622858e-61
LYZ,-1.392451,0.0011703732923269,Other,-3.4174268,0.000632160812318
COX7B,1.3905352,1.5091668717886723e-97,Other,21.27222,2.0532882609369688e-100
EIF3H,1.3897206,8.0280189539746e-62,Other,16.864626,8.191856075484285e-64
SST,1.387634,1.0228353863434398e-17,Other,8.752842,2.0804610919502623e-18
CA9,-1.3801228,0.0045525698297875,Other,-3.016749,0.0025550136799828
TBX1,-1.3780379,0.0130850411677723,Other,-2.6634102,0.0077353066495198
APCDD1,-1.3770496,5.980000239314498e-15,Other,-7.9765196,1.5051701282628328e-15
ICAM5,-1.3738446,3.0398439780312786e-05,Other,-4.334334,1.4620201989579006e-05
AHNAK2,-1.3709755,0.0117076093559111,Other,-2.7021546,0.0068891714917436
BBOX1,1.3675871,6.052590042660606e-23,Other,10.059308,8.358338630340837e-24
LPAR3,1.3672965,2.614209633632541e-29,Other,11.456975,2.1696161585249658e-30
MTHFD2L,1.363288,2.0624118908314816e-34,Other,12.463649,1.1785210804751324e-35
COL7A1,-1.3604416,4.777042363599082e-28,EMT_hallmark,-11.192858,4.4195766084998316e-29
DCDC2,1.3521388,9.429563598933516e-45,Other,14.292484,2.4375742636698884e-46
ARHGAP11A,1.3468273,1.2128089274569346e-33,Other,12.316038,7.425360780348581e-35
CHEK1,1.3402246,1.514478219597845e-34,Other,12.491138,8.3450840671718e-36
FOXM1,1.3361888,1.22747614723664e-34,Other,12.509829,6.596640519162895e-36
TNFSF10,-1.3352827,0.0315496171762549,Other,-2.3348324,0.0195521777194341
CNTN6,1.3346361,0.0002015554718257,Other,3.88543,0.0001021488615715
KRT18,1.3324785,4.433965399723406e-53,Other,15.605908,6.635866584620064e-55
EPSTI1,-1.33187,0.0218955211375682,Other,-2.4724162,0.0134203160169721
IGFBP3,-1.3244382,5.694140394678366e-19,EMT_hallmark,-9.083671,1.0497360863658756e-19
CDC20,1.3162345,5.208855617189967e-35,Other,12.585067,2.551276220664474e-36
NEFH,1.3106253,2.1616514382508023e-85,Other,19.877419,6.383435251617334e-88
HIST1H4E,1.3093929,3.513567453783537e-58,Other,16.347374,4.541345688563755e-60
ABCA3,1.3083712,8.788700224271248e-34,Other,12.343801,5.26126271929163e-35
CDH18,1.3054413,1.3356068122940752e-34,Other,12.502121,7.268608502280681e-36
LETM2,1.3043907,7.46473920220673e-16,Other,8.239341,1.7316163727567992e-16
OAS3,-1.3029022,0.0016018321658102,Other,-3.3292968,0.0008706557146138
TMEFF2,1.3012753,8.39282638159464e-10,Other,6.298911,2.997437993426657e-10
CHCHD10,1.2937164,2.617570869256989e-72,Other,18.2582,1.780660455276863e-74
ADAMTS2,-1.2903497,5.65012472907872e-17,EMT_pancancer,-8.552639,1.2030537688446529e-17
