gene,scores,avg_logFC,p_val,p_val_adj
KANK1,9.880508,1.8728971,5.0575579736070723e-23,6.193947542985452e-22
PALM3,9.85166,2.3838904,6.742112452422294e-23,8.156311649759654e-22
ENO2,-9.753849,-2.7511446,1.7760304867031973e-22,2.122677400975388e-21
CCNB1,9.748904,2.6914976,1.8647052655414752e-22,2.202128123115647e-21
MKI67,9.698075,2.592777,3.0723893288724607e-22,3.5856590755782136e-21
VAV3,9.681591,1.625237,3.6105439094046277e-22,4.164720416429524e-21
ERP29,9.653292,0.9963023,4.760278033981835e-22,5.427811275528712e-21
SLC16A12,9.582406,1.6683412,9.480977504132747e-22,1.0687647368295095e-20
COL27A1,-9.577187,-3.1091087,9.972484404104475e-22,1.1115398347046786e-20
SLC1A5,9.537073,1.9046038,1.4692066455525588e-21,1.619392213764598e-20
S100A14,9.512895,2.8862596,1.8542896692753876e-21,2.0213795076056974e-20
MAL,9.429921,1.8089461,4.103984244107367e-21,4.4251656197331604e-20
CD24,-9.383214,-1.5283034,6.399195438674054e-21,6.825808467918991e-20
CERS6,9.308757,1.3936207,1.293373513628933e-20,1.3649218356594697e-19
ACKR1,-9.29969,-7.852329,1.4085569250142407e-20,1.4708299680148704e-19
CERS4,9.276886,1.557004,1.745041520481794e-20,1.8032095711645205e-19
PAX2,9.257653,2.0378995,2.0897402286987687e-20,2.1371363988342048e-19
AP1S2,9.231003,1.4057795,2.6810965242991145e-20,2.693413360217011e-19
MANSC1,9.230728,1.6072985,2.6879830913456058e-20,2.693413360217011e-19
DACT2,9.219189,2.3265414,2.993565280485806e-20,2.96961675824192e-19
RBP1,9.1233015,1.5251504,7.286992394177752e-20,7.157125202994386e-19
LRRTM1,9.087859,2.2237256,1.0100851760773408e-19,9.823573477144334e-19
DNAH11,-9.063131,-2.4484372,1.2675805120266041e-19,1.2208154057576614e-18
LSM4,9.029062,1.5078849,1.7314844931467732e-19,1.6515698242323066e-18
NCOA7,-9.008182,-1.6111107,2.0950084789896258e-19,1.9792842011025796e-18
DIPK1B,8.97219,1.5955944,2.9067714354288934e-19,2.7202993056089265e-18
BSPRY,8.950484,1.5426877,3.539251505224938e-19,3.2812499936291013e-18
HIST1H4E,8.935373,1.0418289,4.0580530172879454e-19,3.727396845508928e-18
MOXD1,8.903502,1.637533,5.41115080921732e-19,4.924643672241818e-18
NDRG1,-8.902129,-2.210129,5.478561710797396e-19,4.940666561010015e-18
SELENBP1,8.887293,1.4263234,6.261605239179914e-19,5.595957114654482e-18
SCX,8.860092,1.6555955,7.994820660662915e-19,7.081126870872868e-18
LYPD1,-8.845805,-2.1641192,9.087050436249413e-19,7.977304453769397e-18
CASZ1,8.842508,1.9220933,9.359325431021374e-19,8.144255111906319e-18
PRAME,8.789482,1.036054,1.502512097488589e-18,1.2960800006162438e-17
KLHL8,8.772722,1.624072,1.743978143290447e-18,1.4914019984001065e-17
SPRR2A,8.771349,5.5685477,1.7653908146738948e-18,1.4968099898773535e-17
TRDC,8.707882,1.3148866,3.0960645188303768e-18,2.6027932226099436e-17
CENPF,8.706508,2.0204449,3.1338024317512895e-18,2.612379842266621e-17
CYP24A1,-8.704585,-3.6049178,3.1873995602780377e-18,2.6349169698298443e-17
CA12,-8.660899,-2.4099958,4.680556749474431e-18,3.8372828888253184e-17
STXBP6,8.591663,1.4667814,8.571953017980078e-18,6.969981470357572e-17
RASD1,-8.588916,-1.4797746,8.779408158607571e-18,7.080628368568057e-17
HOXD1,8.577651,1.772823,9.683041061250768e-18,7.746432849000614e-17
CENPX,8.567485,1.4715161,1.0576956415605099e-17,8.393872611424206e-17
SP5,8.528196,1.3177729,1.48647497872574e-17,1.1703041102348683e-16
TSPAN7,8.493029,2.6640258,2.0132140863811085e-17,1.5725262784961099e-16
SLC2A12,8.49138,2.1496935,2.041981976100879e-17,1.5825360314781812e-16
FGF4,8.481764,2.615773,2.2180603430300837e-17,1.7056712095239094e-16
NOTUM,8.474895,1.3420186,2.352920567745091e-17,1.795459387079331e-16
ITIH2,8.469125,29.117199,2.4724306518140736e-17,1.8722528294653139e-16
CST1,8.46418,1.9033293,2.5796202490537784e-17,1.9386237023192032e-16
GRB7,8.429287,1.3487653,3.477790501043007e-17,2.5939610353644085e-16
ABRACL,8.361698,1.255337,6.182173002003886e-17,4.576653446259594e-16
NRCAM,8.313618,1.3197701,9.282811079078034e-17,6.821147104033638e-16
TAC1,-8.27268,-3.1912255,1.3098107184983106e-16,9.553913476105325e-16
C12orf45,8.269382,1.4659958,1.3465419960533845e-16,9.750143504269763e-16
BIN1,8.252898,1.4230076,1.545990636737734e-16,1.1113208055390089e-15
PFKP,-8.2507,-1.3498762,1.5746945468836471e-16,1.1238107845385454e-15
NUF2,8.238886,2.5294344,1.7382179627173615e-16,1.2229164673869663e-15
GC,8.239161,7.3829203,1.7342314361533293e-16,1.2229164673869663e-15
RAB25,8.214983,1.0742837,2.1219494770821318e-16,1.482375972722165e-15
CFB,-8.213334,-1.0892601,2.1512979113666598e-16,1.4923689007522562e-15
NET1,8.199871,1.012351,2.4064418200957636e-16,1.6577710316215258e-15
ILF2,8.193277,0.95219123,2.542071516767825e-16,1.7391275480232291e-15
PODXL2,8.18586,1.3612067,2.703674783421696e-16,1.8370173870920016e-15
GJA1,8.138602,1.129097,3.998663186712753e-16,2.698417606271463e-15
ERO1A,-7.9786987,-1.2202226,1.4788388024204832e-15,9.9122168378454e-15
RNF144B,7.975127,1.0759133,1.5222404922893165e-15,1.0134648109738268e-14
PLA2G4D,7.9616647,3.3793979,1.697402739607338e-15,1.1225490117936528e-14
CLCN5,7.9080887,1.8558003,2.613710369010203e-15,1.7170865470583585e-14
LRRC61,7.8896804,1.6865653,3.029615879540111e-15,1.977222995068283e-14
PTRHD1,7.8833613,1.3906888,3.1869037611812737e-15,2.0662800856809305e-14
PRR9,7.87924,3.455441,3.2937863523829813e-15,2.121711728288258e-14
CITED2,7.8415995,1.1859547,4.4484387493567695e-15,2.847000799588332e-14
FBN2,7.8402257,1.5567253,4.497377761213722e-15,2.8598709866179565e-14
UBE2E3,7.816872,1.0200626,5.4152141755376394e-15,3.4215875554989417e-14
PDZK1IP1,-7.8100033,-1.7286718,5.71865195863092e-15,3.5904447740265014e-14
ADAMTS8,7.7594495,3.0617363,8.529882715150463e-15,5.321788461276264e-14
SULT2B1,7.726205,2.1431072,1.1080022085549975e-14,6.869613693040984e-14
HOXD9,7.719611,1.1034037,1.1668531438562367e-14,7.18955477456762e-14
NSG1,7.7124677,1.4343061,1.234081257209607e-14,7.55684325402426e-14
FGF20,7.711643,2.2225068,1.2420794538954734e-14,7.559158394259568e-14
NENF,7.707522,1.0476362,1.2828418724791113e-14,7.759628887190723e-14
TMEM97,7.6448793,1.4945184,2.0914136556469844e-14,1.2573832402435202e-13
ZDHHC2,7.5992713,1.2090169,2.978034030078624e-14,1.7796444324325271e-13
SCPEP1,7.518495,1.2745591,5.5410370975380254e-14,3.271850476641501e-13
TMEM72,7.5187697,2.465943,5.529407131936762e-14,3.271850476641501e-13
G0S2,-7.500087,-2.5801065,6.377557308786372e-14,3.7214922648918127e-13
MCM4,7.500636,1.3466772,6.35087669882665e-14,3.7214922648918127e-13
TSPAN1,-7.4695897,-1.827983,8.044523395915976e-14,4.666764449560613e-13
SMS,7.4599733,1.1644491,8.653985983661286e-14,4.991136102204649e-13
SEMA5A,-7.449533,-1.2493243,9.367114487616485e-14,5.3712009085061e-13
FAM171B,7.417937,1.1259222,1.1895865450733392e-13,6.782010647774439e-13
SLC2A1,-7.400353,-1.3728971,1.3582285503518874e-13,7.699215553994698e-13
ERMP1,7.39843,1.2212701,1.3780415319225657e-13,7.767143179927188e-13
TMED10,7.391561,0.83829504,1.4511480974120657e-13,8.132988206964798e-13
DOK4,-7.3874397,-2.054251,1.4968273932066375e-13,8.341869517196541e-13
MPPED2,7.356668,1.4684489,1.885574363458825e-13,1.0449663511458962e-12
AMBP,7.3407326,5.918968,2.124277644651222e-13,1.170713013052229e-12
AXIN2,-7.298696,-0.77849346,2.9056974191122404e-13,1.5925148285963218e-12
APCDD1,7.295674,1.086809,2.9716790712646737e-13,1.619728372909097e-12
ILDR2,7.2921023,2.1780484,3.051556387677536e-13,1.6541770145224675e-12
IDO1,-7.2588577,-1.6555296,3.903732465984102e-13,2.104620981660994e-12
SAMM50,7.2533627,1.13458,4.065497758018941e-13,2.1799858248404267e-12
LRATD1,7.2423725,1.0937895,4.4090235497036595e-13,2.3514792265086183e-12
DECR1,7.2253385,1.1440613,4.9985611786626e-13,2.6516431493226203e-12
CHST2,7.2198434,0.89206463,5.204752403661403e-13,2.7463374385277193e-12
TGFB2,-7.2030835,-3.85512,5.886585057128184e-13,3.089678506175216e-12
NCAPD2,7.180829,1.6705873,6.928998600435628e-13,3.5987259746765147e-12
DDIT4L,-7.1813784,-2.704043,6.901201311847973e-13,3.5987259746765147e-12
CCNA2,7.1703887,1.9671133,7.478521798943751e-13,3.863902929454272e-12
MIOS,7.1648936,1.3930968,7.784701626276576e-13,4.0012559654229864e-12
IL4I1,-7.134946,-3.1016805,9.682519114477335e-13,4.9510613203925346e-12
KIF18B,7.1214833,2.0083735,1.067716880059224e-12,5.431667410352566e-12
GADD45A,7.0577416,1.2528709,1.692303584204622e-12,8.565128344545842e-12
TRDJ1,7.0110345,1.1724643,2.3656263928254706e-12,1.1912189754735365e-11
PCMTD1,6.987131,0.872254,2.8056380524440548e-12,1.405653004052779e-11
UGGT1,6.9846587,1.0974225,2.8554973111591295e-12,1.423443885763747e-11
COL23A1,-6.9613047,-3.7940452,3.371353188317923e-12,1.6721911814056897e-11
MMP10,-6.9505897,-4.0977054,3.6376251246583026e-12,1.7952856336622072e-11
ETS2,6.9483914,1.0768534,3.694740406239257e-12,1.8144467737571004e-11
SH3YL1,6.9368525,1.0191684,4.009328016380104e-12,1.9572286586797908e-11
AURKB,6.9363027,2.5395901,4.0249460319624736e-12,1.9572286586797908e-11
KIT,6.886848,2.060481,5.704211625580894e-12,2.7602819183298764e-11
DLX5,6.879979,0.9096958,5.986126818889641e-12,2.8826397108439436e-11
TMEM238,6.8753085,1.0619175,6.185582777062944e-12,2.9642986062060097e-11
GPAA1,6.856351,0.85467696,7.0641736476462825e-12,3.369067431954381e-11
SEPHS1,6.84069,1.3172569,7.881251399976054e-12,3.740766214725476e-11
DHX9,6.836294,1.0592159,8.126793502753047e-12,3.83894245463382e-11
SPRR2D,6.83025,4.2092505,8.476690809159366e-12,3.985249897007626e-11
KIF20B,6.8198094,1.8492829,9.116141711690468e-12,4.265666310375917e-11
NUCKS1,6.818161,0.56653607,9.22133681004238e-12,4.2946319791371084e-11
MGP,-6.80827,-2.3804822,9.877942158900097e-12,4.578933935340606e-11
TLE2,6.7953568,0.7478863,1.0804485552144817e-11,4.985139380338446e-11
USP54,6.7901363,0.9359823,1.1202750690326897e-11,5.144966983705686e-11
PADI2,6.784092,1.381748,1.1681885509838887e-11,5.340290518783491e-11
FOXJ1,6.7769485,2.1544683,1.227405647548041e-11,5.5852587264571406e-11
TMX4,6.7714534,1.006644,1.2749486442435303e-11,5.7751098405916986e-11
PPARG,6.737934,1.0890533,1.6065422107458157e-11,7.244044877544769e-11
TMEM273,6.7318897,2.3153925,1.6747347947035378e-11,7.517361612424929e-11
