gene,scores,avg_logFC,p_val,p_val_adj
FOS,-21.805025,-3.642994,2.0789300360767863e-105,3.0560271530328763e-102
COX7B,21.27222,1.3905352,2.0532882609369688e-100,1.5091668717886723e-97
EEF1B2,20.646578,1.0047792,1.0478285317558889e-94,5.134359805603855e-92
NEFH,19.877419,1.3106253,6.383435251617334e-88,2.1616514382508023e-85
FOSB,-19.870325,-6.542702,7.352555912417695e-88,2.1616514382508023e-85
CTCFL,19.425718,1.8292785,4.677952280048182e-84,1.1460983086118046e-81
PPIF,18.7496,1.4852694,1.9505318525329416e-78,4.096116890319177e-76
CPLX1,18.715494,1.9708693,3.701750548854869e-78,6.801966633520822e-76
ODC1,18.667746,1.5424957,9.059757476248934e-78,1.4797603877873258e-75
CHCHD10,18.2582,1.2937164,1.780660455276863e-74,2.617570869256989e-72
CKB,18.175253,1.1831031,8.105265556089362e-74,1.083158215222851e-71
MDH2,17.171854,1.2466393,4.314196478149916e-66,5.2848906857336464e-64
IGSF23,17.024242,2.4772902,5.429034817781127e-65,6.138985524721735e-63
NDUFC1,16.899345,1.1707013,4.5492213092943325e-64,4.776682374759049e-62
EIF3H,16.864626,1.3897206,8.191856075484285e-64,8.0280189539746e-62
SF3B6,16.840275,1.1636916,1.2366135391387437e-63,1.1361386890837208e-61
NHP2,16.628748,1.4447855,4.315112569417871e-62,3.7313032217907477e-60
GCA,16.53946,1.4004078,1.9072699128622858e-61,1.5576037621708667e-59
HIST1H4E,16.347374,1.3093929,4.5413456885637553e-60,3.513567453783537e-58
SLC2A1,-16.216202,-2.0901368,3.874233940754264e-59,2.847561946454384e-57
CCNB1IP1,15.712865,1.5125504,1.2347135935357492e-55,8.642995154750245e-54
KRT18,15.605908,1.3324785,6.635866584620064e-55,4.433965399723406e-53
C1orf43,15.404546,1.1397625,1.525566923279906e-53,9.750362509658529e-52
USP14,15.3989525,1.1379097,1.6634176335267458e-53,1.0188433005351316e-51
CBX3,15.380467,1.0655309,2.2134485696256516e-53,1.3015077589398831e-51
JPT1,15.26246,1.047997,1.360216335638519e-52,7.690453897648548e-51
VGLL3,15.252911,0.90382844,1.5745517674041232e-52,8.572559622533559e-51
LDLR,14.831291,1.5660831,9.194685064291943e-50,4.8272096587532696e-48
TMSB15A,14.818536,2.0861154,1.1118162169741906e-49,5.635758065351932e-48
TIMM50,14.662602,1.2318001,1.1189970138245923e-48,5.483085367740502e-47
EIF3E,14.596028,1.2652327,2.976919344120464e-48,1.4116359470506718e-46
GPX3,14.584364,1.4056851,3.532002916189246e-48,1.622513839624435e-46
TIMM17A,14.578566,1.2781901,3.8451124414805116e-48,1.7128228148413188e-46
RASSF2,14.545141,1.4664997,6.270094648624856e-48,2.7108938627878054e-46
HINT1,14.453055,0.7927267,2.398078052644842e-47,1.0071927821108336e-45
ATP1A3,14.438253,1.6171073,2.9728101000629016e-47,1.2138974575256849e-45
HDDC2,14.387571,1.275311,6.193252938740827e-47,2.4605626540402744e-45
DCDC2,14.292484,1.3521388,2.4375742636698884e-46,9.429563598933516e-45
LTK,14.15299,1.4617734,1.789819425807e-45,6.746242451118692e-44
CYCS,14.10149,1.0220091,3.7183478953033145e-45,1.366492851523968e-43
CTNND2,14.081573,1.7682912,4.930070362747969e-45,1.7676105934730523e-43
PRR11,14.058584,1.596805,6.823732534570522e-45,2.3883063870996828e-43
PAICS,14.00572,1.1867784,1.4381430205745173e-44,4.91644241917335e-43
TFRC,13.987303,1.2424678,1.8634563118846666e-44,6.225638132887409e-43
NDUFA9,13.96643,1.1596208,2.4983969366778576e-44,8.161429993147668e-43
SMAD1,13.899309,0.96744376,6.395550894356769e-44,2.0437956118922717e-42
CSE1L,13.852653,1.155676,1.2260022642936876e-43,3.8345177202377036e-42
COL9A2,-13.827277,-0.91030025,1.7450117315715152e-43,5.344098427937765e-42
OGDHL,13.785122,1.2071985,3.132354418735196e-43,9.397063256205588e-42
