gene,scores,avg_logFC,p_val,p_val_adj
Fndc9,-0.2499369,-1.6143639,0.8026361493013376,0.9012901583002997
Scube3,-0.25383347,-0.31254965,0.7996242203653796,0.8989915126241289
Nts,-0.26218325,0.14015643,0.7931801681698,0.8936567444325964
Sulf1,-0.26440987,0.37074095,0.7914641169260732,0.8923213819937821
Sncg,-0.26663646,0.20569916,0.7897490756882236,0.8909853665985933
Plekhb1,-0.26886308,-0.1032803,0.7880350523595816,0.8896487058538997
Rxrg,-0.272203,0.49747097,0.7854659431985173,0.8873442543795077
Pifo,-0.2766562,-0.51367915,0.7820441005006361,0.8840727188578139
Rarb,-0.27943948,0.6681377,0.779907584328549,0.8822507733891594
Ndst4,-0.27999613,0.5864105,0.7794804799303313,0.8822507733891594
Ndnf,-0.28667596,0.4458672,0.7743604539339481,0.8777477566169701
Ido1,-0.28890255,0.16623117,0.7726559449635721,0.8769984088344124
Enkur,-0.29224247,-0.092671916,0.7701012391353614,0.8752807187197719
Adora2a,-0.29669568,0.35572922,0.7666988461681192,0.8724866558609995
Peg10,-0.29836565,0.58287454,0.7654241037106518,0.8723240124322751
Itgb4,-0.30114892,0.08457876,0.76330094563937,0.8704944977067713
Ppp1r1b,-0.30114892,-0.11989754,0.76330094563937,0.8704944977067713
Dtl,-0.30894205,0.50733066,0.7573656140640135,0.8654871497223703
Shisa8,-0.3139519,0.26172945,0.7535575602298527,0.8617212644533213
Sdcbp2,-0.31729183,-0.1333727,0.7510221772584074,0.8599920163292798
Tnmd,-0.31729183,-0.8868108,0.7510221772584074,0.8599920163292798
Prok2,-0.31951845,-1.2765177,0.749333412258667,0.8592288308368481
Wnt6,-0.32174504,-1.5505674,0.7476458482907327,0.8578789562981034
Slc6a12,-0.32285836,-2.0497744,0.7468025190401352,0.8574966082694448
Rreb1,-0.323415,0.63714117,0.7463809680081551,0.8574966082694448
Vit,-0.32397166,-2.0115125,0.7459594928610547,0.8574966082694448
Gjb2,-0.33788797,-0.05292874,0.735447617542128,0.8479337757807387
Rsph1,-0.33844462,-0.24699071,0.7350281562380332,0.8479337757807387
Slc35d3,-0.33900127,0.03167141,0.7346087739513184,0.8479337757807387
Zic1,-0.34011456,0.49004942,0.7337702468901215,0.8477441821459066
Sln,-0.35236093,-22.56134,0.7245676023267529,0.8382643768143645
Slc18a2,-0.35236093,-22.555935,0.7245676023267529,0.8382643768143645
Gpr149,-0.36349398,-0.9528819,0.7162359151915627,0.829767452403182
Wnk4,-0.3668339,-1.6017693,0.7137429297862604,0.8280206107458272
Togaram2,-0.3701738,-0.76998305,0.7112529968976022,0.8262724863751688
Osr1,-0.37685362,-0.3315426,0.706282384585744,0.8210654830488491
Cd79a,-0.3935532,-2.109876,0.6939109409676072,0.8083605625547802
Spef2,-0.3935532,-1.1048343,0.6939109409676072,0.8083605625547802
Gjc2,-0.3946665,0.45394102,0.693089027301661,0.8083605625547802
Lypd2,-0.39577982,-2.876205,0.6922674746921111,0.8081261284426658
Nxph4,-0.40468624,-0.05642842,0.685708154683343,0.8015823421576492
Rerg,-0.42695233,0.7023392,0.6694140436129115,0.7841707368036963
